DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Charles Melancon,Democratic,,1200,,300087,
80-20 NATIONAL ASIAN AMERICAN PAC,Charles Schumer,Democratic,,2000,,300087,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Charles Schumer,Democratic,,1000,,300087,
Allen Evans Klein International,Charles Schumer,\N,Individual,1200,,300087,
Association of National Advertisers,Charles Schumer,Democratic,Individual,2000,,300087,
Av International Inc,Charles Schumer,Democratic,Individual,2000,,300087,
Azrak-hamway International,Charles Schumer,Democratic,Individual,1000,,300087,
Brinker International,Charles Schumer,Democratic,,3500,,300087,
Building Owners and Managers Association International,Charles Schumer,Democratic,,2000,,300087,
Canandaigua National Bank,Charles Schumer,Democratic,Individual,2500,,300087,
Cash America International,Charles Schumer,Democratic,,1000,,300087,
Central National-Gottesman,Charles Schumer,Democratic,Individual,10600,,300087,
Choice Hotels International,Charles Schumer,Democratic,Individual,1000,,300087,
City National Bank,Charles Schumer,Democratic,Individual,16600,,300087,
Credit Union National Association,Charles Schumer,Democratic,,20000,,300087,
Children's National Health System,Chris Van Hollen,Democratic,Individual,250,,0,
80-20 NATIONAL ASIAN AMERICAN PAC,Christopher A Coons,Democratic,,1250,,412390,
Cash America International,Christopher A Coons,Democratic,,1000,,412390,
Credit Union National Association,Christopher A Coons,Democratic,,8000,,412390,
ACA International,Christopher Dodd,Democratic,,1000,,0,
Building Owners and Managers Association International,Christopher Dodd,Democratic,,2500,,0,
Cash America International,Christopher Dodd,Democratic,,4000,,0,
Cdm National Pac,Christopher Dodd,Democratic,Unknown,-5000,,0,
Credit Union National Association,Christopher Dodd,Democratic,Unknown,1000,,0,
American International Group,Christopher Murphy,Democratic,Individual,500,,412194,
Apptex International,Christopher Murphy,Democratic,Individual,3250,,412194,
Cap.comm.coll. And National Research A,Christopher Murphy,Democratic,Individual,200,,412194,
Capital International,Christopher Murphy,Democratic,Individual,1500,,412194,
Center for National Policy,Christopher Murphy,Democratic,Individual,1000,,412194,
Central National Gottesman Foundation,Christopher Murphy,Democratic,Individual,1750,,412194,
Credit Union National Association,Christopher Murphy,Democratic,,5500,,412194,
Afex International Inc,Claire Mccaskill,Democratic,Individual,250,,412243,
Afex International Inc.,Claire Mccaskill,Democratic,Individual,250,,412243,
Agexplore International,Claire Mccaskill,Democratic,Individual,2400,,412243,
American International Group,Claire Mccaskill,Democratic,Individual,2000,,412243,
Argount National Lab,Claire Mccaskill,Democratic,Individual,200,,412243,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Claire Mccaskill,\N,,1000,,412243,
Brinker International,Claire Mccaskill,\N,,1000,,412243,
Brookham National Lab,Claire Mccaskill,Democratic,Individual,500,,412243,
Credit Union National Association,Claire Mccaskill,\N,,5750,,412243,
Cruise Lines International Association,Claire Mccaskill,\N,,1000,,412243,
DORSEY NATIONAL FUND,Claire Mccaskill,Democratic,,5000,,412243,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Cory A Booker,Democratic,,2500,,412598,
Abs-cbn International,Cory A Booker,Democratic,Individual,200,,412598,
Childrens National Medical Center,Cory A Booker,Democratic,Individual,2000,,412598,
Colliers International,Cory A Booker,Democratic,Individual,250,,412598,
Communications International,Cory A Booker,Democratic,Individual,2600,,412598,
Cory International,Cory A Booker,Democratic,Individual,500,,412598,
Cra International,Cory A Booker,Democratic,Individual,1000,,412598,
Credit Union National Association,Cory A Booker,\N,,11500,,412598,
Cruise Lines International Association,Cory A Booker,\N,,5000,,412598,
DORSEY NATIONAL FUND,Cory A Booker,Democratic,,2600,,412598,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Dan Sullivan,Republican,,5000,,412665,
Air National Guard,Dan Sullivan,Republican,Individual,250,,412665,
Alaska National Insurance Company,Dan Sullivan,Republican,Individual,2250,,412665,
Amarillo National Bank,Dan Sullivan,Republican,Individual,750,,412665,
Citizens National Bank,Dan Sullivan,Republican,Individual,500,,412665,
Credit Union National Association,Dan Sullivan,Republican,Individual,250,,412665,
Cruise Lines International Association,Dan Sullivan,\N,,2000,,412665,
American International Group,Daniel Inouye,Democratic,Individual,2400,,0,
Cruise Lines International Association,Daniel Inouye,Democratic,,1000,,0,
1st National Bank,Daniel R Coats,Republican,Individual,2400,,402675,
ACA International,Daniel R Coats,Republican,,2000,,402675,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Daniel R Coats,Republican,,10000,,402675,
Baxter International,Daniel R Coats,\N,,1000,,402675,
Cash America International,Daniel R Coats,\N,,1500,,402675,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,David Perdue,Republican,,10000,,412666,
Conestoga International,David Perdue,Republican,Individual,1000,,412666,
Credit Union National Association,David Perdue,\N,,1000,,412666,
ACA International,David Vitter,Republican,,2500,,400418,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),David Vitter,Republican,,1000,,400418,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,David Vitter,Republican,,7500,,400418,
Automotive Free International Pac,David Vitter,Republican,Unknown,-2500,,400418,
Cash America International,David Vitter,Republican,,8500,,400418,
Credit Union National Association,David Vitter,Republican,,5000,,400418,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,David Young,Republican,,2500,,0,
American Defense International,David Young,Republican,Individual,2250,,0,
ACA International,Dean Heller,Republican,,10000,,412218,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Dean Heller,Republican,,10000,,412218,
Capital International Inc.,Dean Heller,Republican,Individual,2000,,412218,
Cash America International,Dean Heller,Republican,,8500,,412218,
Colliers International,Dean Heller,Republican,Individual,2500,,412218,
Credit Union National Association,Dean Heller,\N,,5500,,412218,
ACA International,Debbie Ann Stabenow,\N,,1000,,300093,
American Defense International,Debbie Ann Stabenow,\N,Individual,500,,300093,
American International Group,Debbie Ann Stabenow,Democratic,Individual,500,,300093,
Avalon International Breads,Debbie Ann Stabenow,Democratic,Individual,2000,,300093,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Debbie Ann Stabenow,\N,,3400,,300093,
Brookhaven National Laboratory,Debbie Ann Stabenow,Democratic,Individual,250,,300093,
Building Owners and Managers Association International,Debbie Ann Stabenow,\N,,1000,,300093,
Credit Union National Association,Debbie Ann Stabenow,Democratic,,12000,,300093,
DORSEY NATIONAL FUND,Debbie Ann Stabenow,\N,,1000,,300093,
1st National Bank Of Omaha,Debra S Fischer,Republican,Individual,500,,412556,
ACA International,Debra S Fischer,Republican,,2500,,412556,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Debra S Fischer,Republican,,5000,,412556,
American National Bank,Debra S Fischer,Republican,Individual,250,,412556,
Beatrice National Bank & Trust,Debra S Fischer,Republican,Individual,1000,,412556,
Brinker International,Debra S Fischer,Republican,,1000,,412556,
Credit Union National Association,Debra S Fischer,Republican,,16500,,300043,
Archeon International Group,Dianne Feinstein,Democratic,Individual,2500,,300043,
Baxter International,Dianne Feinstein,\N,,2500,,300043,
City National Bank,Dianne Feinstein,Democratic,Individual,4200,,300043,
Credit Union National Association,Dianne Feinstein,\N,,12500,,300043,
Axiom International Investors,Edward W Gillespie,\N,Individual,2600,,412223,
Credit Union National Association,Edward W Gillespie,\N,Individual,1600,,412223,
Cybex International Inc.,"Elizabeth \Liz\"" Cheney""",Republican,Individual,5200,,0,
Advent International,Elizabeth Warren,Democratic,Individual,250,,412542,
American International Group,Elizabeth Warren,Democratic,Individual,250,,412542,
