DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Unknown,Dean Heller,338778,H001041,1863,412218,S2NV00183,H6NV02164,
Retired,Mike Lee,332699,L000577,2080,412495,S0UT00165,,
Self Employed,Shelley Capito,330472,C001047,1676,400061,S4WV00159,H0WV02138,
Not Available,Dianne Feinstein,329300,F000062,1332,300043,S0CA00199,,
Self Employed,Bernard Sanders,326874,S000033,1010,400357,S4VT00033,H8VT01016,
Self Employed,Charles Grassley,325021,G000386,457,300048,S0IA00028,,
Homemaker,Rafael Edward Ted Cruz,324280,C001098,2175,412573,S2TX00312,,
Retired,Richard Burr,323672,B001135,153,400054,S4NC00089,H2NC05074,
Not Employed,Barbara Boxer,317946,B000711,116,300011,S2CA00286,H2CA06028,P80003247
None,Claire Mccaskill,311572,M001170,1820,412243,S6MO00305,P80005721,
Retired,Angus Stanley King Jr,311186,K000383,2185,412545,S2ME00109,,
Self Employed,James Inhofe,308984,I000024,583,300055,S4OK00083,H6OK01102,
Self Employed,John Hoeven,306348,H001061,2079,412494,S0ND00093,,
None,John Isakson,301328,I000055,1608,400194,S6GA00119,H8GA06146,
Not Available,John Barrasso,298832,B001261,1881,412251,S6WY00068,,
Harvard University,Elizabeth Warren,298250,W000817,2182,412542,S2MA00170,,
Not Available,Charles Grassley,297737,G000386,457,300048,S0IA00028,,
Retired,Joe Manchin Iii,294450,M001183,1983,412391,S0WV00090,,
Self Employed,Orrin Hatch,292875,H000338,1351,300052,S6UT00063,P00003806,
Homemaker,Jerry Moran,288496,M000934,1507,400284,S0KS00091,H6KS01096,
Unknown,Elizabeth Warren,275764,W000817,2182,412542,S2MA00170,,
Self Employed,Mike Lee,275188,L000577,2080,412495,S0UT00165,,
Not Available,Joe Donnelly,271327,D000607,1850,412205,S2IN00091,H4IN02101,
Homemaker,Shelley Capito,270299,C001047,1676,400061,S4WV00159,H0WV02138,
Not Available,Lisa Murkowski,268861,M001153,1694,300075,S4AK00099,,
Homemaker,Richard Burr,267155,B001135,153,400054,S4NC00089,H2NC05074,
Retired,James Inhofe,261950,I000024,583,300055,S4OK00083,H6OK01102,
Homemaker,Richard Shelby,259334,S000320,1049,300089,S6AL00013,,
Self Employed,Barbara Mikulski,258099,M000702,802,300073,S6MD00140,,
Retired,Jerry Moran,258057,M000934,1507,400284,S0KS00091,H6KS01096,
Self Employed,Lamar Alexander,255875,A000360,1695,300002,S2TN00058,P60003225,
Homemaker,Mike Lee,251749,L000577,2080,412495,S0UT00165,,
Retired,Joni K Ernst,251618,E000295,2283,412667,S4IA00129,,
Unknown,Roy Blunt,251341,B000575,1464,400034,S0MO00183,H6MO07128,
Retired,Lamar Alexander,246705,A000360,1695,300002,S2TN00058,P60003225,
Homemaker,Debra S Fischer,244102,F000463,2179,412556,S2NE00094,,
Retired,John Hoeven,236710,H001061,2079,412494,S0ND00093,,
Homemaker,Benjamin E Sasse,236131,S001197,2289,412671,S4NE00090,,
None,Ronald Harold Johnson,235395,J000293,2086,412496,S0WI00197,,
Unknown,Claire Mccaskill,234911,M001170,1820,412243,S6MO00305,P80005721,
Retired,Dan Sullivan,234358,S001198,2290,412665,S4AK00214,,
None,Jeffrey Alan Merkley,230120,M001176,1900,412325,S8OR00207,,
Retired,Daniel R Coats,227840,C000542,209,402675,S0IN00053,,
Homemaker,Marion Michael Rounds,227650,R000605,2288,412669,S4SD00049,,
Not Available,Thomas Carper,224650,C000174,179,300019,S8DE00079,,
Unknown,Patrick Joseph Toomey,208868,T000461,2085,400408,S4PA00121,H8PA15096,
Unknown,Tammy Baldwin,207276,B001230,1558,400013,S2WI00219,H8WI00018,
Blackstone,Mitch Mcconnell,206200,M000355,1395,300072,S2KY00012,,
Retired,Amy Klobuchar,205050,K000367,1826,412242,S6MN00267,,
Microsoft,Patty Murray,200248,M001111,1409,300076,S2WA00189,,
Homemaker,Daniel R Coats,200078,C000542,209,402675,S0IN00053,,
Not Available,Roger Wicker,198177,W000437,1226,400432,S8MS00196,H4MS01078,
Unknown,Richard Burr,195950,B001135,153,400054,S4NC00089,H2NC05074,
None,Barbara Boxer,194684,B000711,116,300011,S2CA00286,H2CA06028,P80003247
